"backend_id","booth_number","svg_id_to_store","required_svg_element_id"
"253","36JD-08","36JD-08","36JD-08"
"254","36JD-09","36JD-09","36JD-09"
"255","36JD-10","36JD-10","36JD-10"
"256","36JD-11","36JD-11","36JD-11"
"257","36JD-12","36JD-12","36JD-12"
"258","36JD-13","36JD-13","36JD-13"
"259","36JD-14","36JD-14","36JD-14"
"260","36JD-15","36JD-15","36JD-15"
"261","36JD-16","36JD-16","36JD-16"
"262","36JD-17","36JD-17","36JD-17"
"263","36JD-18","36JD-18","36JD-18"
"264","36JD-19","36JD-19","36JD-19"
"265","36JD-20","36JD-20","36JD-20"
"266","36JD-21","36JD-21","36JD-21"
"267","36JD-22","36JD-22","36JD-22"
"268","36JD-23","36JD-23","36JD-23"
"269","36JD-24","36JD-24","36JD-24"
"270","36JD-25","36JD-25","36JD-25"
"271","36JD-26","36JD-26","36JD-26"
"272","36JD-27","36JD-27","36JD-27"
"273","36JD-28","36JD-28","36JD-28"
"274","7P-01","7P-01","7P-01"
"275","7P-02","7P-02","7P-02"
"276","7P-03","7P-03","7P-03"
"277","7P-04","7P-04","7P-04"
"278","7P-05","7P-05","7P-05"
"279","7P-06","7P-06","7P-06"
"280","7P-07","7P-07","7P-07"
"281","7P-08","7P-08","7P-08"
"282","7P-09","7P-09","7P-09"
"283","7P-10","7P-10","7P-10"
"284","7P-11","7P-11","7P-11"
"285","7P-12","7P-12","7P-12"
"286","7P-13","7P-13","7P-13"
"287","7P-14","7P-14","7P-14"
"288","7P-15","7P-15","7P-15"
"289","7P-16","7P-16","7P-16"
"290","7P-17","7P-17","7P-17"
"291","7P-18","7P-18","7P-18"
"292","7P-19","7P-19","7P-19"
"293","7P-20","7P-20","7P-20"
"294","7P-21","7P-21","7P-21"
"295","7P-22","7P-22","7P-22"
"296","7P-23","7P-23","7P-23"
"297","7P-24","7P-24","7P-24"
"298","7P-25","7P-25","7P-25"
"299","7P-26","7P-26","7P-26"
"300","7P-27","7P-27","7P-27"
"301","7P-28","7P-28","7P-28"
"302","7P-29","7P-29","7P-29"
"303","7P-30","7P-30","7P-30"
"304","7P-31","7P-31","7P-31"
"305","7P-32","7P-32","7P-32"
"306","7P-33","7P-33","7P-33"
"307","7P-34","7P-34","7P-34"
"308","7P-35","7P-35","7P-35"
"309","7P-36","7P-36","7P-36"
"310","7P-37","7P-37","7P-37"
"311","7P-38","7P-38","7P-38"
"312","7P-39","7P-39","7P-39"
"313","7P-40","7P-40","7P-40"
"314","7P-41","7P-41","7P-41"
"315","7P-42","7P-42","7P-42"
"316","7P-43","7P-43","7P-43"
"317","7P-44","7P-44","7P-44"
"318","7P-45","7P-45","7P-45"
"319","7P-46","7P-46","7P-46"
"320","7P-47","7P-47","7P-47"
"321","7P-48","7P-48","7P-48"
"322","7P-49","7P-49","7P-49"
"323","7P-50","7P-50","7P-50"
"324","7P-51","7P-51","7P-51"
"325","7P-52","7P-52","7P-52"
"326","7P-53","7P-53","7P-53"
"327","7P-54","7P-54","7P-54"
"328","7R-01","7R-01","7R-01"
"329","7R-02","7R-02","7R-02"
"330","7R-03","7R-03","7R-03"
"331","7R-04","7R-04","7R-04"
"332","7R-05","7R-05","7R-05"
"333","7R-06","7R-06","7R-06"
"334","7R-07","7R-07","7R-07"
"335","7R-08","7R-08","7R-08"
"336","7R-09","7R-09","7R-09"
"337","7R-10","7R-10","7R-10"
"338","7R-11","7R-11","7R-11"
"339","7R-12","7R-12","7R-12"
"340","7R-13","7R-13","7R-13"
"341","7R-14","7R-14","7R-14"
"342","7R-15","7R-15","7R-15"
"343","7R-16","7R-16","7R-16"
"344","7R-17","7R-17","7R-17"
"345","7R-18","7R-18","7R-18"
"346","7R-19","7R-19","7R-19"
"347","7R-20","7R-20","7R-20"
"348","7R-21","7R-21","7R-21"
"349","7R-22","7R-22","7R-22"
"350","7R-23","7R-23","7R-23"
"351","7R-24","7R-24","7R-24"
"352","7R-25","7R-25","7R-25"
"353","7R-26","7R-26","7R-26"
"354","7R-27","7R-27","7R-27"
"355","7R-28","7R-28","7R-28"
"356","7R-29","7R-29","7R-29"
"357","7R-30","7R-30","7R-30"
"358","7R-31","7R-31","7R-31"
"359","7R-32","7R-32","7R-32"
"360","7R-33","7R-33","7R-33"
"361","7R-34","7R-34","7R-34"
"362","7R-35","7R-35","7R-35"
"363","7R-36","7R-36","7R-36"
"364","7R-37","7R-37","7R-37"
"365","7R-38","7R-38","7R-38"
"366","7R-39","7R-39","7R-39"
"367","7R-40","7R-40","7R-40"
"368","7R-41","7R-41","7R-41"
"369","7R-42","7R-42","7R-42"
"370","7R-43","7R-43","7R-43"
"371","7R-44","7R-44","7R-44"
"372","7R-45","7R-45","7R-45"
"373","7R-46","7R-46","7R-46"
"374","7R-47","7R-47","7R-47"
"375","7R-48","7R-48","7R-48"
"376","7R-49","7R-49","7R-49"
"377","7R-50","7R-50","7R-50"
"378","7R-51","7R-51","7R-51"
"379","7R-52","7R-52","7R-52"
"380","7R-53","7R-53","7R-53"
"381","7R-54","7R-54","7R-54"
"382","8K-01","8K-01","8K-01"
"383","8K-02","8K-02","8K-02"
"384","8K-03","8K-03","8K-03"
"385","8K-04","8K-04","8K-04"
"386","8K-05","8K-05","8K-05"
"387","8K-06","8K-06","8K-06"
"388","8K-07","8K-07","8K-07"
"389","8K-08","8K-08","8K-08"
"390","8K-09","8K-09","8K-09"
"391","8K-10","8K-10","8K-10"
